Region,Country,Country_iso
Eastern Mediterranean Region,Afghanistan, AFG
European Region,Albania, ALB
African Region,Algeria, DZA
European Region,Andorra, AND
African Region,Angola, AGO
Region of the Americas,Antigua and Barbuda, ATG
Region of the Americas,Argentina, ARG
European Region,Armenia, ARM
Region of the Americas,Aruba, ABW
Western Pacific Region,Australia, AUS
European Region,Austria, AUT
European Region,Azerbaijan, AZE
Region of the Americas,Bahamas, BHS
Eastern Mediterranean Region,Bahrain, BHR
South-East Asia Region,Bangladesh, BGD
Region of the Americas,Barbados, BRB
European Region,Belarus, BLR
European Region,Belgium, BEL
Region of the Americas,Belize, BLZ
African Region,Benin, BEN
Region of the Americas,Bermuda, BMU
South-East Asia Region,Bhutan, BTN
Region of the Americas,Bolivia, BTN
European Region,Bosnia and Herzegovina, BIH
African Region,Botswana, BWA
Region of the Americas,Brazil, BRA
Western Pacific Region,Brunei, BRN
Western Pacific Region,Brunei Darussalam, BRN
European Region,Bulgaria, BGR
African Region,Burkina Faso, BFA
African Region,Burundi, BDI
Western Pacific Region,Cambodia, KHM
African Region,Cameroon, CMR
Region of the Americas,Canada, CAN
African Region,Cape Verde, CPV
African Region,Central African Republic, CAF
African Region,Chad, TCD
Region of the Americas,Chile, CHL
Western Pacific Region,China, CHN
Region of the Americas,Colombia, COL
African Region,Comoros, COM
African Region,"Congo, Democratic Republic of the", COG
Western Pacific Region,Cook Islands, COK
Region of the Americas,Costa Rica, CRI
African Region,Côte d'Ivoire, CIV
European Region,Croatia, HRV
Region of the Americas,Cuba, CUB
Eastern Mediterranean Region,Cyprus, CYP
European Region,Czech Republic, CIV
European Region,Denmark, DNK
Eastern Mediterranean Region,Djibouti, DJI
Region of the Americas,Dominica, DMA
Region of the Americas,Dominican Republic, DOM
Region of the Americas,Ecuador, ECU
Eastern Mediterranean Region,Egypt, EGY
Region of the Americas,El Salvador, SLV
African Region,Equatorial Guinea, GNQ
African Region,Eritrea, ERI
European Region,Estonia, EST
African Region,Ethiopia, ETH
Western Pacific Region,Fiji, FJI
European Region,Finland, FIN
European Region,France, FRA
Western Pacific Region,French Polynesia, PYF
African Region,Gabon, GAB
African Region,Gambia, GMB
European Region,Georgia, GEO
European Region,Germany, DEU
African Region,Ghana, GHA
European Region,Greece, GRC
Region of the Americas,Grenada, GRD
Region of the Americas,Guatemala, GTM
African Region,Guinea, GIN
African Region,Guinea-Bissau, GNB
Region of the Americas,Guyana, GUY
Region of the Americas,Haiti, HTI
Region of the Americas,Honduras, HND
Western Pacific Region,Hong Kong, HKG
European Region,Hungary, HUN
European Region,Iceland, ISL
South-East Asia Region,India, IND
South-East Asia Region,Indonesia, IDN
Eastern Mediterranean Region,Iran, IDN
Eastern Mediterranean Region,Iraq, IRQ
European Region,Ireland, IRL
European Region,Israel, ISR
European Region,Italy, ITA
Region of the Americas,Jamaica, JAM
Western Pacific Region,Japan, JPN
Eastern Mediterranean Region,Jordan, JOR
European Region,Kazakhstan, KAZ
African Region,Kenya, KEN
Western Pacific Region,Kiribati, MMR
Western Pacific Region,Korea (Republic of), KIR
European Region,Kosovo, KOR
Eastern Mediterranean Region,Kuwait, KWT
European Region,Kyrgyzstan, KOR
Western Pacific Region,Laos, LAO
European Region,Latvia, LVA
Eastern Mediterranean Region,Lebanon, LBN
African Region,Lesotho, LSO
African Region,Liberia, LBR
Eastern Mediterranean Region,Libya, LBR
European Region,Liechtenstein, LIE
European Region,Lithuania, KOR
European Region,Luxembourg, LUX
European Region,Macedonia (the former Yugoslav Republic of), MAC
African Region,Madagascar, MDG
African Region,Malawi, MWI
